job_title,salary_usd,experience_level,employment_type,location,remote_ratio,company_size,source
data scientist,79833.0,mid-level,FT,DE,0,L,huggingface
machine learning scientist,260000.0,senior,FT,JP,0,S,huggingface
big data engineer,109024.0,senior,FT,GB,50,M,huggingface
product data analyst,20000.0,mid-level,FT,HN,0,S,huggingface
machine learning engineer,150000.0,senior,FT,US,50,L,huggingface
data analyst,72000.0,entry-level,FT,US,100,L,huggingface
lead data scientist,190000.0,senior,FT,US,100,S,huggingface
data scientist,35735.0,mid-level,FT,HU,50,L,huggingface
business data analyst,135000.0,mid-level,FT,US,100,L,huggingface
lead data engineer,125000.0,senior,FT,NZ,50,S,huggingface
data scientist,51321.0,entry-level,FT,FR,0,S,huggingface
data scientist,40481.0,mid-level,FT,IN,0,L,huggingface
lead data analyst,87000.0,mid-level,FT,US,100,L,huggingface
data analyst,8000.0,mid-level,FT,PK,50,L,huggingface
data engineer,41689.0,entry-level,FT,JP,100,S,huggingface
data science consultant,5707.0,entry-level,FT,IN,50,M,huggingface
lead data engineer,56000.0,mid-level,FT,US,100,M,huggingface
machine learning engineer,43331.0,mid-level,FT,CN,0,M,huggingface
product data analyst,6072.0,mid-level,FT,IN,100,L,huggingface
data engineer,47899.0,senior,FT,GR,50,L,huggingface
bi data analyst,98000.0,mid-level,FT,US,0,M,huggingface
lead data scientist,115000.0,mid-level,FT,AE,0,L,huggingface
director of data science,325000.0,executive,FT,US,100,L,huggingface
research scientist,42000.0,entry-level,FT,NL,50,L,huggingface
data engineer,33511.0,senior,FT,MX,0,S,huggingface
machine learning manager,117104.0,senior,FT,CA,50,L,huggingface
data engineering manager,59303.0,mid-level,FT,DE,100,S,huggingface
big data engineer,70000.0,entry-level,FT,US,100,L,huggingface
data scientist,68428.0,senior,FT,US,100,L,huggingface
research scientist,450000.0,mid-level,FT,US,0,M,huggingface
data analyst,46759.0,mid-level,FT,FR,50,L,huggingface
data engineer,74130.0,mid-level,FT,AT,50,L,huggingface
data science consultant,103000.0,mid-level,FT,US,100,L,huggingface
data analyst,10000.0,entry-level,FT,NG,100,S,huggingface
data engineering manager,79833.0,executive,FT,ES,50,L,huggingface
machine learning infrastructure engineer,50180.0,mid-level,FT,PT,0,M,huggingface
data engineer,106000.0,mid-level,FT,US,100,L,huggingface
data engineer,112872.0,mid-level,FT,GB,50,L,huggingface
ml engineer,15966.0,entry-level,PT,DE,100,S,huggingface
data scientist,76958.0,mid-level,FT,GB,100,S,huggingface
data engineer,70139.0,mid-level,FT,FR,50,L,huggingface
data analyst,6072.0,entry-level,FT,IN,0,S,huggingface
ai scientist,45896.0,entry-level,FT,DK,50,S,huggingface
data engineer,54742.0,entry-level,FT,DE,100,L,huggingface
computer vision engineer,60000.0,senior,FL,US,100,S,huggingface
