job_title,salary_usd,experience_level,employment_type,location,remote_ratio,company_size,source
Data Scientist,79833,mi,FT,DE,0,L,hf_ds_salaries
Machine Learning Scientist,260000,se,FT,JP,0,S,hf_ds_salaries
Big Data Engineer,109024,se,FT,GB,50,M,hf_ds_salaries
Product Data Analyst,20000,mi,FT,HN,0,S,hf_ds_salaries
Machine Learning Engineer,150000,se,FT,US,50,L,hf_ds_salaries
Data Analyst,72000,en,FT,US,100,L,hf_ds_salaries
Lead Data Scientist,190000,se,FT,US,100,S,hf_ds_salaries
Data Scientist,35735,mi,FT,HU,50,L,hf_ds_salaries
Business Data Analyst,135000,mi,FT,US,100,L,hf_ds_salaries
Lead Data Engineer,125000,se,FT,NZ,50,S,hf_ds_salaries
Data Scientist,51321,en,FT,FR,0,S,hf_ds_salaries
Data Scientist,40481,mi,FT,IN,0,L,hf_ds_salaries
Data Scientist,39916,en,FT,FR,0,M,hf_ds_salaries
Lead Data Analyst,87000,mi,FT,US,100,L,hf_ds_salaries
Data Analyst,85000,mi,FT,US,100,L,hf_ds_salaries
Data Analyst,8000,mi,FT,PK,50,L,hf_ds_salaries
Data Engineer,41689,en,FT,JP,100,S,hf_ds_salaries
Big Data Engineer,114047,se,FT,GB,100,S,hf_ds_salaries
Data Science Consultant,5707,en,FT,IN,50,M,hf_ds_salaries
Lead Data Engineer,56000,mi,FT,US,100,M,hf_ds_salaries
Machine Learning Engineer,43331,mi,FT,CN,0,M,hf_ds_salaries
Product Data Analyst,6072,mi,FT,IN,100,L,hf_ds_salaries
Data Engineer,47899,se,FT,GR,50,L,hf_ds_salaries
BI Data Analyst,98000,mi,FT,US,0,M,hf_ds_salaries
Lead Data Scientist,115000,mi,FT,AE,0,L,hf_ds_salaries
Director of Data Science,325000,ex,FT,US,100,L,hf_ds_salaries
Research Scientist,42000,en,FT,NL,50,L,hf_ds_salaries
Data Engineer,33511,se,FT,MX,0,S,hf_ds_salaries
Business Data Analyst,100000,en,CT,US,100,L,hf_ds_salaries
Machine Learning Manager,117104,se,FT,CA,50,L,hf_ds_salaries
Data Engineering Manager,59303,mi,FT,DE,100,S,hf_ds_salaries
Big Data Engineer,70000,en,FT,US,100,L,hf_ds_salaries
Data Scientist,68428,se,FT,US,100,L,hf_ds_salaries
Research Scientist,450000,mi,FT,US,0,M,hf_ds_salaries
Data Analyst,46759,mi,FT,FR,50,L,hf_ds_salaries
Data Engineer,74130,mi,FT,AT,50,L,hf_ds_salaries
Data Science Consultant,103000,mi,FT,US,100,L,hf_ds_salaries
Machine Learning Engineer,250000,en,FT,US,50,L,hf_ds_salaries
Data Analyst,10000,en,FT,NG,100,S,hf_ds_salaries
Machine Learning Engineer,138000,en,FT,US,100,S,hf_ds_salaries
Data Scientist,45760,mi,FT,US,100,S,hf_ds_salaries
Data Engineering Manager,79833,ex,FT,ES,50,L,hf_ds_salaries
Machine Learning Infrastructure Engineer,50180,mi,FT,PT,0,M,hf_ds_salaries
Data Engineer,106000,mi,FT,US,100,L,hf_ds_salaries
Data Engineer,112872,mi,FT,GB,50,L,hf_ds_salaries
ML Engineer,15966,en,PT,DE,100,S,hf_ds_salaries
Data Scientist,76958,mi,FT,GB,100,S,hf_ds_salaries
Data Engineer,188000,se,FT,US,100,L,hf_ds_salaries
Data Scientist,105000,mi,FT,US,100,L,hf_ds_salaries
