job_title,salary_usd,experience_level,employment_type,location,remote_ratio,company_size,source
Data Scientist,79833,MI,FT,DE,0,L,huggingface
Machine Learning Scientist,260000,SE,FT,JP,0,S,huggingface
Big Data Engineer,109024,SE,FT,GB,50,M,huggingface
Product Data Analyst,20000,MI,FT,HN,0,S,huggingface
Machine Learning Engineer,150000,SE,FT,US,50,L,huggingface
Data Analyst,72000,EN,FT,US,100,L,huggingface
Lead Data Scientist,190000,SE,FT,US,100,S,huggingface
Data Scientist,35735,MI,FT,HU,50,L,huggingface
Business Data Analyst,135000,MI,FT,US,100,L,huggingface
Lead Data Engineer,125000,SE,FT,NZ,50,S,huggingface
Data Scientist,51321,EN,FT,FR,0,S,huggingface
Data Scientist,40481,MI,FT,IN,0,L,huggingface
Data Scientist,39916,EN,FT,FR,0,M,huggingface
Lead Data Analyst,87000,MI,FT,US,100,L,huggingface
Data Analyst,85000,MI,FT,US,100,L,huggingface
Data Analyst,8000,MI,FT,PK,50,L,huggingface
Data Engineer,41689,EN,FT,JP,100,S,huggingface
Big Data Engineer,114047,SE,FT,GB,100,S,huggingface
Data Science Consultant,5707,EN,FT,IN,50,M,huggingface
Lead Data Engineer,56000,MI,FT,US,100,M,huggingface
Machine Learning Engineer,43331,MI,FT,CN,0,M,huggingface
Product Data Analyst,6072,MI,FT,IN,100,L,huggingface
Data Engineer,47899,SE,FT,GR,50,L,huggingface
BI Data Analyst,98000,MI,FT,US,0,M,huggingface
Lead Data Scientist,115000,MI,FT,AE,0,L,huggingface
Director of Data Science,325000,EX,FT,US,100,L,huggingface
Research Scientist,42000,EN,FT,NL,50,L,huggingface
Data Engineer,33511,SE,FT,MX,0,S,huggingface
Business Data Analyst,100000,EN,CT,US,100,L,huggingface
Machine Learning Manager,117104,SE,FT,CA,50,L,huggingface
Data Engineering Manager,59303,MI,FT,DE,100,S,huggingface
Big Data Engineer,70000,EN,FT,US,100,L,huggingface
Data Scientist,68428,SE,FT,US,100,L,huggingface
Research Scientist,450000,MI,FT,US,0,M,huggingface
Data Analyst,46759,MI,FT,FR,50,L,huggingface
Data Engineer,74130,MI,FT,AT,50,L,huggingface
Data Science Consultant,103000,MI,FT,US,100,L,huggingface
Machine Learning Engineer,250000,EN,FT,US,50,L,huggingface
Data Analyst,10000,EN,FT,NG,100,S,huggingface
Machine Learning Engineer,138000,EN,FT,US,100,S,huggingface
Data Scientist,45760,MI,FT,US,100,S,huggingface
Data Engineering Manager,79833,EX,FT,ES,50,L,huggingface
Machine Learning Infrastructure Engineer,50180,MI,FT,PT,0,M,huggingface
Data Engineer,106000,MI,FT,US,100,L,huggingface
Data Engineer,112872,MI,FT,GB,50,L,huggingface
ML Engineer,15966,EN,PT,DE,100,S,huggingface
Data Scientist,76958,MI,FT,GB,100,S,huggingface
Data Engineer,188000,SE,FT,US,100,L,huggingface
Data Scientist,105000,MI,FT,US,100,L,huggingface
Data Engineer,70139,MI,FT,FR,50,L,huggingface
Data Analyst,6072,EN,FT,IN,0,S,huggingface
Data Analyst,91000,EN,FT,US,100,L,huggingface
AI Scientist,45896,EN,FT,DK,50,S,huggingface
Data Engineer,54742,EN,FT,DE,100,L,huggingface
Computer Vision Engineer,60000,SE,FL,US,100,S,huggingface
Principal Data Scientist,148261,SE,FT,DE,100,M,huggingface
Data Scientist,38776,MI,FT,ES,100,M,huggingface
Data Scientist,118000,MI,FT,US,100,M,huggingface
Data Scientist,120000,SE,FT,US,50,L,huggingface
Data Scientist,138350,MI,FT,US,100,M,huggingface
Data Engineer,110000,MI,FT,US,100,L,huggingface
Data Engineer,130800,MI,FT,US,100,M,huggingface
Data Scientist,21669,EN,PT,IT,50,S,huggingface
Data Scientist,412000,SE,FT,US,100,L,huggingface
Machine Learning Engineer,45618,SE,FT,HR,100,S,huggingface
Data Scientist,62726,EN,FT,DE,50,S,huggingface
Data Scientist,49268,EN,FT,DE,0,S,huggingface
Data Science Manager,190200,SE,FT,US,100,M,huggingface
Data Scientist,105000,EN,FT,US,100,S,huggingface
Data Scientist,91237,SE,FT,AT,0,S,huggingface
Data Scientist,62726,MI,FT,LU,50,S,huggingface
Data Scientist,42197,MI,FT,FR,50,S,huggingface
Research Scientist,82528,EN,FT,GB,50,L,huggingface
BI Data Analyst,150000,EX,FT,US,100,L,huggingface
Head of Data,235000,EX,FT,US,100,L,huggingface
Data Scientist,53192,SE,FT,FR,50,L,huggingface
BI Data Analyst,100000,MI,FT,US,100,M,huggingface
3D Computer Vision Researcher,5409,MI,PT,IN,50,M,huggingface
ML Engineer,270000,MI,CT,US,100,L,huggingface
Data Analyst,80000,EN,FT,US,100,M,huggingface
Data Analytics Engineer,79197,SE,FT,DE,100,L,huggingface
Data Engineer,140000,MI,FT,US,100,L,huggingface
Applied Data Scientist,54238,MI,FT,CA,50,L,huggingface
Machine Learning Engineer,47282,MI,FT,ES,100,S,huggingface
Director of Data Science,153667,EX,FT,PL,100,L,huggingface
Data Engineer,28476,MI,FT,PL,100,L,huggingface
Data Analyst,59102,EN,FT,FR,50,M,huggingface
Data Analytics Engineer,110000,MI,FT,US,100,L,huggingface
Lead Data Analyst,170000,SE,FT,US,100,L,huggingface
Data Analyst,80000,SE,FT,US,100,S,huggingface
Marketing Data Analyst,88654,SE,FT,DK,100,L,huggingface
Data Science Consultant,76833,EN,FT,DE,100,S,huggingface
Lead Data Analyst,19609,MI,FT,IN,100,L,huggingface
Lead Data Engineer,276000,SE,FT,US,0,L,huggingface
Data Scientist,29751,EN,FT,IN,50,L,huggingface
Cloud Data Engineer,89294,MI,FT,SG,50,L,huggingface
AI Scientist,12000,EN,PT,US,100,S,huggingface
Financial Data Analyst,450000,MI,FT,US,100,L,huggingface
Computer Vision Software Engineer,70000,EN,FT,US,100,M,huggingface
Computer Vision Software Engineer,95746,MI,FT,US,100,S,huggingface
Data Analyst,75000,MI,FT,US,0,L,huggingface
Data Engineer,150000,SE,FT,US,100,L,huggingface
BI Data Analyst,36259,MI,FT,US,50,L,huggingface
Data Analyst,62000,MI,FT,US,0,L,huggingface
Data Scientist,73000,MI,FT,US,0,L,huggingface
Data Analyst,51519,MI,FT,GB,50,L,huggingface
Research Scientist,187442,MI,FT,CA,100,L,huggingface
Data Engineer,115000,SE,FT,US,100,S,huggingface
Data Engineer,150000,SE,FT,US,100,M,huggingface
Data Engineer,30428,EN,FT,IN,100,L,huggingface
Machine Learning Engineer,94564,SE,FT,DE,50,L,huggingface
Director of Data Engineering,113476,SE,FT,GB,100,M,huggingface
Lead Data Engineer,103160,SE,FT,GB,100,S,huggingface
AI Scientist,12000,EN,PT,US,100,M,huggingface
Data Engineer,45391,MI,FT,NL,100,L,huggingface
Machine Learning Scientist,225000,EN,FT,US,100,L,huggingface
Data Scientist,50000,MI,FT,NG,100,L,huggingface
Data Science Engineer,40189,MI,FT,GR,100,M,huggingface
Data Analyst,90000,EN,FT,US,100,S,huggingface
Data Engineer,200000,MI,FT,US,100,L,huggingface
Big Data Engineer,60000,MI,FT,RO,50,M,huggingface
Principal Data Engineer,200000,SE,FT,US,100,M,huggingface
Data Analyst,50000,EN,FT,US,100,M,huggingface
Applied Data Scientist,110037,EN,FT,GB,0,L,huggingface
Data Analyst,10354,EN,PT,ES,50,M,huggingface
Principal Data Scientist,151000,MI,FT,US,100,L,huggingface
Machine Learning Scientist,120000,SE,FT,US,50,S,huggingface
Data Scientist,9466,MI,FT,IN,0,S,huggingface
Machine Learning Engineer,20000,EN,FT,IN,100,S,huggingface
Lead Data Scientist,40570,SE,FT,IN,50,L,huggingface
Machine Learning Developer,100000,EN,FT,IQ,50,S,huggingface
Data Scientist,49646,EN,FT,FR,50,M,huggingface
Applied Machine Learning Scientist,38400,MI,FT,US,100,M,huggingface
Computer Vision Engineer,24000,SE,FT,BR,100,M,huggingface
Data Scientist,100000,EN,FT,US,0,S,huggingface
Data Analyst,90000,MI,FT,US,100,M,huggingface
ML Engineer,63711,MI,FT,JP,50,S,huggingface
ML Engineer,77364,MI,FT,JP,50,S,huggingface
Principal Data Scientist,220000,SE,FT,US,0,L,huggingface
Data Scientist,80000,EN,FT,US,100,M,huggingface
Data Analyst,135000,MI,FT,US,100,L,huggingface
Data Science Manager,240000,SE,FT,US,0,L,huggingface
Data Engineering Manager,150000,SE,FT,US,0,L,huggingface
Data Scientist,82500,MI,FT,US,100,S,huggingface
Data Engineer,100000,MI,FT,US,100,L,huggingface
Machine Learning Engineer,82744,SE,FT,BE,50,M,huggingface
Research Scientist,62649,MI,FT,FR,50,M,huggingface
Data Engineer,90000,MI,FT,US,100,L,huggingface
Data Engineering Manager,153000,SE,FT,US,100,L,huggingface
Cloud Data Engineer,160000,SE,FT,US,100,S,huggingface
Director of Data Science,168000,SE,FT,JP,0,S,huggingface
Data Scientist,150000,MI,FT,US,100,M,huggingface
Data Scientist,75774,MI,FT,CA,100,L,huggingface
Data Scientist,13400,EN,FT,UA,100,L,huggingface
Data Science Manager,144000,SE,FT,US,100,L,huggingface
Data Science Engineer,127221,SE,FT,CA,50,L,huggingface
Data Scientist,119059,MI,FT,IL,100,M,huggingface
Applied Machine Learning Scientist,423000,MI,FT,US,50,L,huggingface
Data Analytics Manager,120000,SE,FT,US,100,M,huggingface
Machine Learning Engineer,125000,EN,FT,US,100,S,huggingface
Head of Data,230000,EX,FT,RU,50,L,huggingface
Head of Data Science,85000,EX,FT,RU,0,M,huggingface
Data Engineer,28369,MI,FT,MT,50,L,huggingface
Data Science Consultant,63831,EN,FT,DE,50,L,huggingface
Director of Data Science,130026,EX,FT,DE,50,M,huggingface
Data Specialist,165000,SE,FT,US,100,L,huggingface
Data Engineer,80000,EN,FT,US,100,L,huggingface
Director of Data Science,250000,EX,FT,US,0,L,huggingface
BI Data Analyst,55000,EN,FT,US,50,S,huggingface
Data Architect,150000,MI,FT,US,100,L,huggingface
Data Architect,170000,MI,FT,US,100,L,huggingface
Data Engineer,82528,MI,FT,GB,100,L,huggingface
Data Analyst,60000,EN,FT,US,100,S,huggingface
Principal Data Scientist,235000,SE,FT,US,100,L,huggingface
Research Scientist,60757,SE,FT,PT,50,L,huggingface
Data Engineering Manager,174000,SE,FT,US,100,L,huggingface
Data Scientist,2859,MI,FT,MX,0,S,huggingface
Data Scientist,40038,MI,FT,CL,100,L,huggingface
Machine Learning Engineer,81000,EN,FT,US,50,S,huggingface
Data Scientist,5679,MI,FT,US,100,S,huggingface
Big Data Engineer,22611,MI,FT,IN,0,L,huggingface
Data Scientist,90734,MI,FT,DE,50,L,huggingface
Data Engineer,26005,MI,FT,US,0,L,huggingface
Finance Data Analyst,61896,SE,FT,GB,50,L,huggingface
Machine Learning Scientist,12000,MI,FL,PK,50,M,huggingface
Data Engineer,4000,MI,FT,IR,100,M,huggingface
Data Analytics Engineer,50000,SE,FT,GB,100,M,huggingface
