job_title,salary_usd,experience_level,employment_type,location,remote_ratio,company_size,source
Junior SAP Consultant,44265.56,entry,FT,"London, UK",50,L,synthetic
Data Science Graduate,70232.36,entry,FT,"Seattle, WA",100,L,synthetic
Finance Manager,0.0,senior,FT,"Toronto, Canada",50,S,synthetic
Junior Python Developer,0.0,entry,FT,"Toronto, Canada",50,M,synthetic
Senior Audit Manager,0.0,senior,FT,"Chicago, IL",0,S,synthetic
Director of Finance,152550.27,senior,FT,"Chicago, IL",50,L,synthetic
Junior PHP Developer,54810.3,entry,FT,"Tunis, Tunisia",0,S,synthetic
Junior Marketing Analyst,37937.29,entry,FT,"Dubai, UAE",100,M,synthetic
Data Visualization Analyst,0.0,entry,FT,"Amsterdam, Netherlands",50,M,synthetic
Senior Audit Manager,0.0,senior,FT,"Paris, France",0,S,synthetic
Junior Data Analyst,53350.33,entry,FT,"Montreal, Canada",100,L,synthetic
Director of Finance,129339.59,senior,FT,"Austin, TX",50,L,synthetic
Accounting Intern,34470.3,entry,FT,"London, UK",0,S,synthetic
Senior Machine Learning Engineer,116179.55,senior,FT,"Amsterdam, Netherlands",50,M,synthetic
Machine Learning Engineer Intern,0.0,entry,FT,"Amsterdam, Netherlands",50,S,synthetic
Data Science Intern,57992.42,entry,FT,"Lyon, France",100,S,synthetic
Analytics Engineer,81785.92,mid,FT,"San Francisco, CA",0,L,synthetic
Data Visualization Analyst,47765.11,entry,FT,"Dubai, UAE",100,L,synthetic
Junior Marketing Analyst,0.0,entry,FT,"Amsterdam, Netherlands",50,L,synthetic
ERP Analyst Junior,39540.94,entry,FT,"Tunis, Tunisia",0,L,synthetic
Analytics Engineer,0.0,mid,FT,"Seattle, WA",100,L,synthetic
Community Manager Junior,0.0,entry,FT,Remote - Europe,50,S,synthetic
ERP Support Analyst,45863.3,entry,FT,"Dubai, UAE",50,S,synthetic
Junior Controller,49564.58,entry,FT,Remote - Europe,0,M,synthetic
ERP Support Analyst,32847.59,entry,FT,"Madrid, Spain",50,L,synthetic
Power BI Analyst,58093.87,entry,FT,"Madrid, Spain",50,L,synthetic
